,Province_State,Date,Confirmed,Deaths
1852,Grand Princess,2020-01-28,0,0
1000,Connecticut,2020-01-28,0,0
7390,Virgin Islands,2020-01-28,0,0
1284,Diamond Princess,2020-01-28,0,0
7248,Vermont,2020-01-28,0,0
4692,New Hampshire,2020-01-28,0,0
1426,District of Columbia,2020-01-28,0,0
1568,Florida,2020-01-28,0,0
7106,Utah,2020-01-28,0,0
4266,Montana,2020-01-28,0,0
1710,Georgia,2020-01-28,0,0
1142,Delaware,2020-01-28,0,0
4976,New Mexico,2020-01-28,0,0
5118,New York,2020-01-28,0,0
5970,Oregon,2020-01-28,0,0
3840,Minnesota,2020-01-28,0,0
3414,Maryland,2020-01-28,0,0
3698,Michigan,2020-01-28,0,0
5260,North Carolina,2020-01-28,0,0
6112,Pennsylvania,2020-01-28,0,0
5402,North Dakota,2020-01-28,0,0
2846,Kansas,2020-01-28,0,0
5828,Oklahoma,2020-01-28,0,0
3130,Louisiana,2020-01-28,0,0
3556,Massachusetts,2020-01-28,0,0
2988,Kentucky,2020-01-28,0,0
5686,Ohio,2020-01-28,0,0
3272,Maine,2020-01-28,0,0
5544,Northern Mariana Islands,2020-01-28,0,0
4124,Missouri,2020-01-28,0,0
1995,Guam,2020-01-29,0,0
6823,Tennessee,2020-01-29,0,0
4551,Nevada,2020-01-29,0,0
1853,Grand Princess,2020-01-29,0,0
3273,Maine,2020-01-29,0,0
4125,Missouri,2020-01-29,0,0
3699,Michigan,2020-01-29,0,0
859,Colorado,2020-01-29,0,0
6965,Texas,2020-01-29,0,0
7533,Virginia,2020-01-29,0,0
2847,Kansas,2020-01-29,0,0
1711,Georgia,2020-01-29,0,0
5687,Ohio,2020-01-29,0,0
4977,New Mexico,2020-01-29,0,0
7,Alabama,2020-01-29,0,0
7107,Utah,2020-01-29,0,0
1001,Connecticut,2020-01-29,0,0
1569,Florida,2020-01-29,0,0
5829,Oklahoma,2020-01-29,0,0
1427,District of Columbia,2020-01-29,0,0
3557,Massachusetts,2020-01-29,0,0
7249,Vermont,2020-01-29,0,0
1143,Delaware,2020-01-29,0,0
1285,Diamond Princess,2020-01-29,0,0
4693,New Hampshire,2020-01-29,0,0
8101,Wyoming,2020-01-29,0,0
3415,Maryland,2020-01-29,0,0
2137,Hawaii,2020-01-29,0,0
5971,Oregon,2020-01-29,0,0
149,Alaska,2020-01-29,0,0
433,Arizona,2020-01-29,1,0
4409,Nebraska,2020-01-29,0,0
7959,Wisconsin,2020-01-29,0,0
6113,Pennsylvania,2020-01-29,0,0
3841,Minnesota,2020-01-29,0,0
717,California,2020-01-29,2,0
2563,Indiana,2020-01-29,0,0
2989,Kentucky,2020-01-29,0,0
7817,West Virginia,2020-01-29,0,0
4267,Montana,2020-01-29,0,0
2705,Iowa,2020-01-29,0,0
6255,Puerto Rico,2020-01-29,0,0
575,Arkansas,2020-01-29,0,0
6397,Rhode Island,2020-01-29,0,0
2421,Illinois,2020-01-29,1,0
5261,North Carolina,2020-01-29,0,0
7391,Virgin Islands,2020-01-29,0,0
6681,South Dakota,2020-01-29,0,0
4835,New Jersey,2020-01-29,0,0
5119,New York,2020-01-29,0,0
5403,North Dakota,2020-01-29,0,0
3983,Mississippi,2020-01-29,0,0
5545,Northern Mariana Islands,2020-01-29,0,0
2279,Idaho,2020-01-29,0,0
7675,Washington,2020-01-29,1,0
6539,South Carolina,2020-01-29,0,0
3131,Louisiana,2020-01-29,0,0
291,American Samoa,2020-01-29,0,0
5546,Northern Mariana Islands,2020-01-30,0,0
576,Arkansas,2020-01-30,0,0
7818,West Virginia,2020-01-30,0,0
7392,Virgin Islands,2020-01-30,0,0
8,Alabama,2020-01-30,0,0
1144,Delaware,2020-01-30,0,0
718,California,2020-01-30,2,0
7534,Virginia,2020-01-30,0,0
3984,Mississippi,2020-01-30,0,0
3842,Minnesota,2020-01-30,0,0
3700,Michigan,2020-01-30,0,0
5404,North Dakota,2020-01-30,0,0
8102,Wyoming,2020-01-30,0,0
7676,Washington,2020-01-30,1,0
860,Colorado,2020-01-30,0,0
1002,Connecticut,2020-01-30,0,0
1712,Georgia,2020-01-30,0,0
5688,Ohio,2020-01-30,0,0
5972,Oregon,2020-01-30,0,0
3132,Louisiana,2020-01-30,0,0
2280,Idaho,2020-01-30,0,0
6540,South Carolina,2020-01-30,0,0
5120,New York,2020-01-30,0,0
