,Date,Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
144,2020-01-22,Ireland,53.1424,-7.6921,0,0,0.0,0.0,0,0,0
145,2020-01-22,Israel,31.0,35.0,0,0,0.0,0.0,0,0,0
146,2020-01-22,Italy,43.0,12.0,0,0,0.0,0.0,0,0,0
147,2020-01-22,Jamaica,18.1096,-77.2975,0,0,0.0,0.0,0,0,0
148,2020-01-22,Japan,36.0,138.0,2,0,0.0,2.0,0,0,0
149,2020-01-22,Jordan,31.24,36.51,0,0,0.0,0.0,0,0,0
150,2020-01-22,Kazakhstan,48.0196,66.9237,0,0,0.0,0.0,0,0,0
151,2020-01-22,Kenya,-0.0236,37.9062,0,0,0.0,0.0,0,0,0
152,2020-01-22,"Korea, South",36.0,128.0,1,0,0.0,1.0,0,0,0
153,2020-01-22,Kosovo,42.602636,20.902977,0,0,0.0,0.0,0,0,0
154,2020-01-22,Kuwait,29.5,47.75,0,0,0.0,0.0,0,0,0
155,2020-01-22,Kyrgyzstan,41.2044,74.7661,0,0,0.0,0.0,0,0,0
156,2020-01-22,Laos,19.85627,102.495496,0,0,0.0,0.0,0,0,0
157,2020-01-22,Latvia,56.8796,24.6032,0,0,0.0,0.0,0,0,0
158,2020-01-22,Lebanon,33.8547,35.8623,0,0,0.0,0.0,0,0,0
159,2020-01-22,Lesotho,-29.609988,28.233608,0,0,0.0,0.0,0,0,0
160,2020-01-22,Liberia,6.4281,-9.4295,0,0,0.0,0.0,0,0,0
161,2020-01-22,Libya,26.3351,17.228331,0,0,0.0,0.0,0,0,0
162,2020-01-22,Liechtenstein,47.14,9.55,0,0,0.0,0.0,0,0,0
163,2020-01-22,Lithuania,55.1694,23.8813,0,0,0.0,0.0,0,0,0
164,2020-01-22,Luxembourg,49.8153,6.1296,0,0,0.0,0.0,0,0,0
165,2020-01-22,Madagascar,-18.7669,46.8691,0,0,0.0,0.0,0,0,0
166,2020-01-22,Malawi,-13.254308,34.301525,0,0,0.0,0.0,0,0,0
167,2020-01-22,Malaysia,2.5,112.5,0,0,0.0,0.0,0,0,0
168,2020-01-22,Maldives,3.2028,73.2207,0,0,0.0,0.0,0,0,0
169,2020-01-22,Mali,17.570692,-3.996166,0,0,0.0,0.0,0,0,0
170,2020-01-22,Malta,35.9375,14.3754,0,0,0.0,0.0,0,0,0
171,2020-01-22,Mauritania,21.0079,10.9408,0,0,0.0,0.0,0,0,0
172,2020-01-22,Mauritius,-20.2,57.5,0,0,0.0,0.0,0,0,0
173,2020-01-22,Mexico,23.6345,-102.5528,0,0,0.0,0.0,0,0,0
174,2020-01-22,Moldova,47.4116,28.3699,0,0,0.0,0.0,0,0,0
175,2020-01-22,Monaco,43.7333,7.4167,0,0,0.0,0.0,0,0,0
176,2020-01-22,Mongolia,46.8625,103.8467,0,0,0.0,0.0,0,0,0
177,2020-01-22,Montenegro,42.5,19.3,0,0,0.0,0.0,0,0,0
178,2020-01-22,Morocco,31.7917,-7.0926,0,0,0.0,0.0,0,0,0
179,2020-01-22,Mozambique,-18.665695,35.529562,0,0,0.0,0.0,0,0,0
180,2020-01-22,Namibia,-22.9576,18.4904,0,0,0.0,0.0,0,0,0
181,2020-01-22,Nepal,28.1667,84.25,0,0,0.0,0.0,0,0,0
182,2020-01-22,Netherlands,12.1696,-68.99,0,0,0.0,0.0,0,0,0
183,2020-01-22,Netherlands,12.1784,-68.2385,0,0,0.0,0.0,0,0,0
184,2020-01-22,Netherlands,12.5186,-70.0358,0,0,0.0,0.0,0,0,0
185,2020-01-22,Netherlands,18.0425,-63.0548,0,0,0.0,0.0,0,0,0
186,2020-01-22,Netherlands,52.1326,5.2913,0,0,0.0,0.0,0,0,0
187,2020-01-22,New Zealand,-40.9006,174.886,0,0,0.0,0.0,0,0,0
188,2020-01-22,Nicaragua,12.8654,-85.2072,0,0,0.0,0.0,0,0,0
189,2020-01-22,Niger,17.6078,8.0817,0,0,0.0,0.0,0,0,0
190,2020-01-22,Nigeria,9.082,8.6753,0,0,0.0,0.0,0,0,0
191,2020-01-22,North Macedonia,41.6086,21.7453,0,0,0.0,0.0,0,0,0
192,2020-01-22,Norway,60.472,8.4689,0,0,0.0,0.0,0,0,0
193,2020-01-22,Oman,21.0,57.0,0,0,0.0,0.0,0,0,0
194,2020-01-22,Pakistan,30.3753,69.3451,0,0,0.0,0.0,0,0,0
195,2020-01-22,Panama,8.538,-80.7821,0,0,0.0,0.0,0,0,0
196,2020-01-22,Papua New Guinea,-6.315,143.9555,0,0,0.0,0.0,0,0,0
197,2020-01-22,Paraguay,-23.4425,-58.4438,0,0,0.0,0.0,0,0,0
198,2020-01-22,Peru,-9.19,-75.0152,0,0,0.0,0.0,0,0,0
199,2020-01-22,Philippines,13.0,122.0,0,0,0.0,0.0,0,0,0
200,2020-01-22,Poland,51.9194,19.1451,0,0,0.0,0.0,0,0,0
201,2020-01-22,Portugal,39.3999,-8.2245,0,0,0.0,0.0,0,0,0
202,2020-01-22,Qatar,25.3548,51.1839,0,0,0.0,0.0,0,0,0
